,marioStatus,agentName,agentType,lengthOfLevelPassedPhys,totalLengthOfLevelPassedPhys,lengthOfLevelPassedCells,totalLengthOfLevelPassedCells,timeSpentOnLevel,totalTimeGiven,numberOfGainedCoins,totalActionsPerformed,jumpActionsPerformed,level,solid,breakableStone,empty,question,emptyQuestion,numberOfEnemies,leftPipeTop,rightPipeTop,leftPipe,rightPipe,coin
0,1,RobinBaumgarten_AStarAgent,AStarAgent,167.6941680908203,720.0,10,45,16,30,0,251,22,"[[2.0, 7.0, 9.0, 0.0, 5.0, 1.0, 6.0, 10.0, 2.0, 4.0, 2.0, 8.0, 5.0, 7.0, 10.0], [2.0, 3.0, 9.0, 6.0, 3.0, 3.0, 5.0, 5.0, 4.0, 10.0, 8.0, 9.0, 1.0, 2.0, 10.0], [2.0, 0.0, 6.0, 3.0, 1.0, 5.0, 7.0, 3.0, 8.0, 10.0, 5.0, 0.0, 6.0, 4.0, 5.0], [2.0, 4.0, 8.0, 9.0, 3.0, 10.0, 0.0, 7.0, 9.0, 8.0, 7.0, 1.0, 3.0, 7.0, 9.0], [2.0, 6.0, 4.0, 3.0, 10.0, 10.0, 0.0, 4.0, 3.0, 7.0, 2.0, 10.0, 0.0, 1.0, 10.0], [2.0, 8.0, 4.0, 8.0, 9.0, 5.0, 6.0, 8.0, 9.0, 1.0, 2.0, 7.0, 10.0, 8.0, 10.0], [2.0, 10.0, 4.0, 7.0, 9.0, 7.0, 1.0, 3.0, 2.0, 6.0, 8.0, 6.0, 7.0, 2.0, 10.0], [2.0, 5.0, 9.0, 8.0, 2.0, 2.0, 2.0, 10.0, 1.0, 5.0, 3.0, 3.0, 3.0, 0.0, 6.0], [2.0, 1.0, 6.0, 6.0, 0.0, 0.0, 0.0, 4.0, 8.0, 9.0, 3.0, 0.0, 1.0, 1.0, 3.0], [2.0, 7.0, 9.0, 4.0, 8.0, 10.0, 6.0, 7.0, 9.0, 0.0, 9.0, 10.0, 6.0, 8.0, 4.0], [2.0, 5.0, 1.0, 8.0, 9.0, 2.0, 0.0, 10.0, 1.0, 1.0, 6.0, 4.0, 8.0, 4.0, 5.0], [2.0, 1.0, 4.0, 10.0, 8.0, 8.0, 0.0, 7.0, 5.0, 9.0, 2.0, 0.0, 8.0, 5.0, 5.0], [2.0, 2.0, 10.0, 10.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 5.0, 3.0, 3.0, 9.0, 7.0], [0.0, 4.0, 2.0, 0.0, 9.0, 10.0, 8.0, 0.0, 9.0, 10.0, 9.0, 8.0, 9.0, 1.0, 0.0]]",19,16,27,17,15,16,14,16,24,23,23
1,1,RobinBaumgarten_AStarAgent,AStarAgent,181.7871856689453,720.0,11,45,20,30,0,300,34,"[[2.0, 7.0, 9.0, 0.0, 5.0, 1.0, 6.0, 10.0, 2.0, 4.0, 2.0, 8.0, 5.0, 7.0, 10.0], [2.0, 3.0, 9.0, 6.0, 3.0, 3.0, 5.0, 5.0, 4.0, 10.0, 8.0, 9.0, 1.0, 2.0, 10.0], [2.0, 0.0, 6.0, 3.0, 1.0, 5.0, 7.0, 3.0, 8.0, 10.0, 5.0, 0.0, 6.0, 4.0, 5.0], [2.0, 4.0, 8.0, 9.0, 3.0, 10.0, 0.0, 7.0, 9.0, 8.0, 7.0, 1.0, 3.0, 7.0, 9.0], [2.0, 6.0, 4.0, 3.0, 10.0, 10.0, 0.0, 4.0, 3.0, 7.0, 2.0, 10.0, 0.0, 1.0, 10.0], [2.0, 8.0, 4.0, 8.0, 9.0, 5.0, 6.0, 8.0, 9.0, 1.0, 2.0, 7.0, 10.0, 8.0, 10.0], [2.0, 10.0, 4.0, 7.0, 9.0, 7.0, 1.0, 3.0, 2.0, 6.0, 8.0, 6.0, 7.0, 2.0, 10.0], [2.0, 5.0, 9.0, 8.0, 2.0, 2.0, 2.0, 10.0, 1.0, 5.0, 3.0, 3.0, 3.0, 0.0, 6.0], [2.0, 1.0, 6.0, 6.0, 0.0, 0.0, 0.0, 4.0, 8.0, 9.0, 3.0, 0.0, 1.0, 1.0, 3.0], [2.0, 7.0, 9.0, 4.0, 8.0, 10.0, 6.0, 7.0, 9.0, 0.0, 9.0, 10.0, 6.0, 8.0, 4.0], [2.0, 5.0, 1.0, 8.0, 9.0, 2.0, 0.0, 10.0, 1.0, 1.0, 6.0, 4.0, 8.0, 4.0, 5.0], [2.0, 1.0, 4.0, 10.0, 8.0, 8.0, 0.0, 7.0, 5.0, 9.0, 2.0, 0.0, 8.0, 5.0, 5.0], [2.0, 2.0, 10.0, 10.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 5.0, 3.0, 3.0, 9.0, 7.0], [0.0, 4.0, 2.0, 0.0, 9.0, 10.0, 8.0, 0.0, 9.0, 10.0, 9.0, 8.0, 9.0, 1.0, 0.0]]",19,16,27,17,15,16,14,16,24,23,23
2,0,RobinBaumgarten_AStarAgent,AStarAgent,201.3192596435547,720.0,12,45,2,30,0,41,3,"[[2.0, 7.0, 9.0, 0.0, 5.0, 1.0, 6.0, 10.0, 2.0, 4.0, 2.0, 8.0, 5.0, 7.0, 10.0], [2.0, 3.0, 9.0, 6.0, 3.0, 3.0, 5.0, 5.0, 4.0, 10.0, 8.0, 9.0, 1.0, 2.0, 10.0], [2.0, 0.0, 6.0, 3.0, 1.0, 5.0, 7.0, 3.0, 8.0, 10.0, 5.0, 0.0, 6.0, 4.0, 5.0], [2.0, 4.0, 8.0, 9.0, 3.0, 10.0, 0.0, 7.0, 9.0, 8.0, 7.0, 1.0, 3.0, 7.0, 9.0], [2.0, 6.0, 4.0, 3.0, 10.0, 10.0, 0.0, 4.0, 3.0, 7.0, 2.0, 10.0, 0.0, 1.0, 10.0], [2.0, 8.0, 4.0, 8.0, 9.0, 5.0, 6.0, 8.0, 9.0, 1.0, 2.0, 7.0, 10.0, 8.0, 10.0], [2.0, 10.0, 4.0, 7.0, 9.0, 7.0, 1.0, 3.0, 2.0, 6.0, 8.0, 6.0, 7.0, 2.0, 10.0], [2.0, 5.0, 9.0, 8.0, 2.0, 2.0, 2.0, 10.0, 1.0, 5.0, 3.0, 3.0, 3.0, 0.0, 6.0], [2.0, 1.0, 6.0, 6.0, 0.0, 0.0, 0.0, 4.0, 8.0, 9.0, 3.0, 0.0, 1.0, 1.0, 3.0], [2.0, 7.0, 9.0, 4.0, 8.0, 10.0, 6.0, 7.0, 9.0, 0.0, 9.0, 10.0, 6.0, 8.0, 4.0], [2.0, 5.0, 1.0, 8.0, 9.0, 2.0, 0.0, 10.0, 1.0, 1.0, 6.0, 4.0, 8.0, 4.0, 5.0], [2.0, 1.0, 4.0, 10.0, 8.0, 8.0, 0.0, 7.0, 5.0, 9.0, 2.0, 0.0, 8.0, 5.0, 5.0], [2.0, 2.0, 10.0, 10.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 5.0, 3.0, 3.0, 9.0, 7.0], [0.0, 4.0, 2.0, 0.0, 9.0, 10.0, 8.0, 0.0, 9.0, 10.0, 9.0, 8.0, 9.0, 1.0, 0.0]]",19,16,27,17,15,16,14,16,24,23,23
3,1,RobinBaumgarten_AStarAgent,AStarAgent,217.40185546875,720.0,13,45,7,30,0,115,4,"[[2.0, 7.0, 9.0, 0.0, 5.0, 1.0, 6.0, 10.0, 2.0, 4.0, 2.0, 8.0, 5.0, 7.0, 10.0], [2.0, 3.0, 9.0, 6.0, 3.0, 3.0, 5.0, 5.0, 4.0, 10.0, 8.0, 9.0, 1.0, 2.0, 10.0], [2.0, 0.0, 6.0, 3.0, 1.0, 5.0, 7.0, 3.0, 8.0, 10.0, 5.0, 0.0, 6.0, 4.0, 5.0], [2.0, 4.0, 8.0, 9.0, 3.0, 10.0, 0.0, 7.0, 9.0, 8.0, 7.0, 1.0, 3.0, 7.0, 9.0], [2.0, 6.0, 4.0, 3.0, 10.0, 10.0, 0.0, 4.0, 3.0, 7.0, 2.0, 10.0, 0.0, 1.0, 10.0], [2.0, 8.0, 4.0, 8.0, 9.0, 5.0, 6.0, 8.0, 9.0, 1.0, 2.0, 7.0, 10.0, 8.0, 10.0], [2.0, 10.0, 4.0, 7.0, 9.0, 7.0, 1.0, 3.0, 2.0, 6.0, 8.0, 6.0, 7.0, 2.0, 10.0], [2.0, 5.0, 9.0, 8.0, 2.0, 2.0, 2.0, 10.0, 1.0, 5.0, 3.0, 3.0, 3.0, 0.0, 6.0], [2.0, 1.0, 6.0, 6.0, 0.0, 0.0, 0.0, 4.0, 8.0, 9.0, 3.0, 0.0, 1.0, 1.0, 3.0], [2.0, 7.0, 9.0, 4.0, 8.0, 10.0, 6.0, 7.0, 9.0, 0.0, 9.0, 10.0, 6.0, 8.0, 4.0], [2.0, 5.0, 1.0, 8.0, 9.0, 2.0, 0.0, 10.0, 1.0, 1.0, 6.0, 4.0, 8.0, 4.0, 5.0], [2.0, 1.0, 4.0, 10.0, 8.0, 8.0, 0.0, 7.0, 5.0, 9.0, 2.0, 0.0, 8.0, 5.0, 5.0], [2.0, 2.0, 10.0, 10.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 5.0, 3.0, 3.0, 9.0, 7.0], [0.0, 4.0, 2.0, 0.0, 9.0, 10.0, 8.0, 0.0, 9.0, 10.0, 9.0, 8.0, 9.0, 1.0, 0.0]]",19,16,27,17,15,16,14,16,24,23,23
4,1,RobinBaumgarten_AStarAgent,AStarAgent,181.10829162597656,720.0,11,45,7,30,0,104,2,"[[2.0, 7.0, 9.0, 0.0, 5.0, 1.0, 6.0, 10.0, 2.0, 4.0, 2.0, 8.0, 5.0, 7.0, 10.0], [2.0, 3.0, 9.0, 6.0, 3.0, 3.0, 5.0, 5.0, 4.0, 10.0, 8.0, 9.0, 1.0, 2.0, 10.0], [2.0, 0.0, 6.0, 3.0, 1.0, 5.0, 7.0, 3.0, 8.0, 10.0, 5.0, 0.0, 6.0, 4.0, 5.0], [2.0, 4.0, 8.0, 9.0, 3.0, 10.0, 0.0, 7.0, 9.0, 8.0, 7.0, 1.0, 3.0, 7.0, 9.0], [2.0, 6.0, 4.0, 3.0, 10.0, 10.0, 0.0, 4.0, 3.0, 7.0, 2.0, 10.0, 0.0, 1.0, 10.0], [2.0, 8.0, 4.0, 8.0, 9.0, 5.0, 6.0, 8.0, 9.0, 1.0, 2.0, 7.0, 10.0, 8.0, 10.0], [2.0, 10.0, 4.0, 7.0, 9.0, 7.0, 1.0, 3.0, 2.0, 6.0, 8.0, 6.0, 7.0, 2.0, 10.0], [2.0, 5.0, 9.0, 8.0, 2.0, 2.0, 2.0, 10.0, 1.0, 5.0, 3.0, 3.0, 3.0, 0.0, 6.0], [2.0, 1.0, 6.0, 6.0, 0.0, 0.0, 0.0, 4.0, 8.0, 9.0, 3.0, 0.0, 1.0, 1.0, 3.0], [2.0, 7.0, 9.0, 4.0, 8.0, 10.0, 6.0, 7.0, 9.0, 0.0, 9.0, 10.0, 6.0, 8.0, 4.0], [2.0, 5.0, 1.0, 8.0, 9.0, 2.0, 0.0, 10.0, 1.0, 1.0, 6.0, 4.0, 8.0, 4.0, 5.0], [2.0, 1.0, 4.0, 10.0, 8.0, 8.0, 0.0, 7.0, 5.0, 9.0, 2.0, 0.0, 8.0, 5.0, 5.0], [2.0, 2.0, 10.0, 10.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 5.0, 3.0, 3.0, 9.0, 7.0], [0.0, 4.0, 2.0, 0.0, 9.0, 10.0, 8.0, 0.0, 9.0, 10.0, 9.0, 8.0, 9.0, 1.0, 0.0]]",19,16,27,17,15,16,14,16,24,23,23
5,1,RobinBaumgarten_AStarAgent,AStarAgent,229.9211883544922,720.0,14,45,6,30,0,99,2,"[[2.0, 7.0, 9.0, 0.0, 5.0, 1.0, 6.0, 10.0, 2.0, 4.0, 2.0, 8.0, 5.0, 7.0, 10.0], [2.0, 3.0, 9.0, 6.0, 3.0, 3.0, 5.0, 5.0, 4.0, 10.0, 8.0, 9.0, 1.0, 2.0, 10.0], [2.0, 0.0, 6.0, 3.0, 1.0, 5.0, 7.0, 3.0, 8.0, 10.0, 5.0, 0.0, 6.0, 4.0, 5.0], [2.0, 4.0, 8.0, 9.0, 3.0, 10.0, 0.0, 7.0, 9.0, 8.0, 7.0, 1.0, 3.0, 7.0, 9.0], [2.0, 6.0, 4.0, 3.0, 10.0, 10.0, 0.0, 4.0, 3.0, 7.0, 2.0, 10.0, 0.0, 1.0, 10.0], [2.0, 8.0, 4.0, 8.0, 9.0, 5.0, 6.0, 8.0, 9.0, 1.0, 2.0, 7.0, 10.0, 8.0, 10.0], [2.0, 10.0, 4.0, 7.0, 9.0, 7.0, 1.0, 3.0, 2.0, 6.0, 8.0, 6.0, 7.0, 2.0, 10.0], [2.0, 5.0, 9.0, 8.0, 2.0, 2.0, 2.0, 10.0, 1.0, 5.0, 3.0, 3.0, 3.0, 0.0, 6.0], [2.0, 1.0, 6.0, 6.0, 0.0, 0.0, 0.0, 4.0, 8.0, 9.0, 3.0, 0.0, 1.0, 1.0, 3.0], [2.0, 7.0, 9.0, 4.0, 8.0, 10.0, 6.0, 7.0, 9.0, 0.0, 9.0, 10.0, 6.0, 8.0, 4.0], [2.0, 5.0, 1.0, 8.0, 9.0, 2.0, 0.0, 10.0, 1.0, 1.0, 6.0, 4.0, 8.0, 4.0, 5.0], [2.0, 1.0, 4.0, 10.0, 8.0, 8.0, 0.0, 7.0, 5.0, 9.0, 2.0, 0.0, 8.0, 5.0, 5.0], [2.0, 2.0, 10.0, 10.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 5.0, 3.0, 3.0, 9.0, 7.0], [0.0, 4.0, 2.0, 0.0, 9.0, 10.0, 8.0, 0.0, 9.0, 10.0, 9.0, 8.0, 9.0, 1.0, 0.0]]",19,16,27,17,15,16,14,16,24,23,23
6,1,RobinBaumgarten_AStarAgent,AStarAgent,173.17213439941406,720.0,10,45,9,30,0,136,8,"[[2.0, 7.0, 9.0, 0.0, 5.0, 1.0, 6.0, 10.0, 2.0, 4.0, 2.0, 8.0, 5.0, 7.0, 10.0], [2.0, 3.0, 9.0, 6.0, 3.0, 3.0, 5.0, 5.0, 4.0, 10.0, 8.0, 9.0, 1.0, 2.0, 10.0], [2.0, 0.0, 6.0, 3.0, 1.0, 5.0, 7.0, 3.0, 8.0, 0.0, 5.0, 0.0, 6.0, 4.0, 5.0], [2.0, 4.0, 8.0, 9.0, 3.0, 10.0, 0.0, 7.0, 9.0, 8.0, 7.0, 1.0, 3.0, 7.0, 9.0], [2.0, 6.0, 4.0, 3.0, 10.0, 10.0, 0.0, 4.0, 3.0, 7.0, 2.0, 10.0, 0.0, 1.0, 10.0], [2.0, 8.0, 4.0, 8.0, 9.0, 5.0, 6.0, 8.0, 9.0, 1.0, 2.0, 7.0, 10.0, 10.0, 10.0], [2.0, 10.0, 4.0, 7.0, 9.0, 7.0, 1.0, 3.0, 2.0, 6.0, 8.0, 6.0, 7.0, 2.0, 10.0], [2.0, 5.0, 9.0, 8.0, 2.0, 2.0, 2.0, 10.0, 1.0, 5.0, 3.0, 3.0, 3.0, 0.0, 6.0], [2.0, 1.0, 6.0, 6.0, 0.0, 0.0, 0.0, 4.0, 8.0, 9.0, 3.0, 0.0, 1.0, 1.0, 3.0], [2.0, 7.0, 9.0, 4.0, 8.0, 10.0, 6.0, 7.0, 9.0, 0.0, 9.0, 6.0, 6.0, 8.0, 4.0], [2.0, 5.0, 1.0, 8.0, 9.0, 2.0, 0.0, 10.0, 1.0, 1.0, 6.0, 4.0, 8.0, 4.0, 5.0], [2.0, 1.0, 4.0, 10.0, 8.0, 8.0, 0.0, 7.0, 5.0, 9.0, 2.0, 0.0, 8.0, 5.0, 5.0], [2.0, 2.0, 10.0, 10.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 5.0, 3.0, 3.0, 9.0, 7.0], [0.0, 5.0, 2.0, 0.0, 0.0, 10.0, 8.0, 0.0, 9.0, 10.0, 9.0, 8.0, 9.0, 1.0, 0.0]]",21,16,27,17,14,17,15,16,23,22,22
7,1,RobinBaumgarten_AStarAgent,AStarAgent,155.85166931152344,720.0,9,45,12,30,0,188,16,"[[2.0, 7.0, 9.0, 0.0, 5.0, 1.0, 6.0, 10.0, 2.0, 4.0, 2.0, 8.0, 5.0, 7.0, 10.0], [2.0, 3.0, 9.0, 6.0, 3.0, 3.0, 5.0, 5.0, 4.0, 10.0, 8.0, 9.0, 1.0, 2.0, 10.0], [2.0, 0.0, 6.0, 3.0, 1.0, 5.0, 7.0, 3.0, 8.0, 10.0, 5.0, 0.0, 6.0, 4.0, 5.0], [2.0, 4.0, 8.0, 9.0, 3.0, 10.0, 0.0, 7.0, 9.0, 8.0, 7.0, 1.0, 3.0, 7.0, 9.0], [2.0, 6.0, 4.0, 3.0, 10.0, 10.0, 0.0, 4.0, 3.0, 7.0, 2.0, 10.0, 0.0, 1.0, 10.0], [2.0, 8.0, 4.0, 8.0, 9.0, 5.0, 6.0, 8.0, 9.0, 1.0, 2.0, 7.0, 10.0, 8.0, 10.0], [2.0, 10.0, 4.0, 7.0, 9.0, 7.0, 1.0, 3.0, 2.0, 6.0, 8.0, 6.0, 7.0, 2.0, 10.0], [2.0, 5.0, 9.0, 8.0, 2.0, 2.0, 2.0, 10.0, 1.0, 5.0, 3.0, 3.0, 3.0, 0.0, 6.0], [2.0, 1.0, 6.0, 6.0, 0.0, 0.0, 0.0, 4.0, 8.0, 9.0, 3.0, 0.0, 1.0, 1.0, 3.0], [2.0, 7.0, 9.0, 4.0, 8.0, 10.0, 6.0, 7.0, 9.0, 0.0, 9.0, 10.0, 6.0, 8.0, 4.0], [2.0, 5.0, 1.0, 8.0, 9.0, 2.0, 0.0, 10.0, 1.0, 1.0, 6.0, 4.0, 8.0, 4.0, 5.0], [2.0, 1.0, 4.0, 10.0, 8.0, 8.0, 0.0, 7.0, 5.0, 9.0, 2.0, 0.0, 8.0, 5.0, 5.0], [2.0, 2.0, 10.0, 10.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 5.0, 3.0, 3.0, 9.0, 7.0], [0.0, 4.0, 2.0, 0.0, 9.0, 10.0, 8.0, 0.0, 9.0, 10.0, 9.0, 8.0, 9.0, 1.0, 0.0]]",19,16,27,17,15,16,14,16,24,23,23
8,1,RobinBaumgarten_AStarAgent,AStarAgent,168.46791076660156,720.0,10,45,7,30,0,114,4,"[[2.0, 7.0, 9.0, 0.0, 5.0, 1.0, 6.0, 10.0, 2.0, 4.0, 2.0, 8.0, 5.0, 7.0, 10.0], [2.0, 3.0, 9.0, 6.0, 3.0, 3.0, 5.0, 5.0, 4.0, 10.0, 8.0, 9.0, 1.0, 2.0, 10.0], [2.0, 0.0, 6.0, 3.0, 1.0, 5.0, 7.0, 3.0, 8.0, 10.0, 5.0, 0.0, 6.0, 4.0, 5.0], [2.0, 4.0, 8.0, 9.0, 3.0, 10.0, 0.0, 7.0, 9.0, 8.0, 7.0, 1.0, 3.0, 7.0, 9.0], [2.0, 6.0, 4.0, 3.0, 10.0, 10.0, 0.0, 4.0, 3.0, 7.0, 2.0, 10.0, 0.0, 1.0, 10.0], [2.0, 8.0, 4.0, 8.0, 9.0, 5.0, 6.0, 8.0, 9.0, 1.0, 2.0, 7.0, 10.0, 8.0, 10.0], [2.0, 10.0, 4.0, 7.0, 9.0, 7.0, 1.0, 3.0, 2.0, 6.0, 8.0, 6.0, 7.0, 2.0, 10.0], [2.0, 5.0, 9.0, 8.0, 2.0, 2.0, 2.0, 10.0, 1.0, 5.0, 3.0, 3.0, 3.0, 0.0, 6.0], [2.0, 1.0, 6.0, 6.0, 0.0, 0.0, 0.0, 4.0, 8.0, 9.0, 3.0, 0.0, 1.0, 1.0, 3.0], [2.0, 7.0, 9.0, 4.0, 8.0, 10.0, 6.0, 7.0, 9.0, 0.0, 9.0, 10.0, 6.0, 8.0, 4.0], [2.0, 5.0, 1.0, 8.0, 9.0, 2.0, 0.0, 10.0, 1.0, 1.0, 6.0, 4.0, 8.0, 4.0, 5.0], [2.0, 1.0, 4.0, 10.0, 8.0, 8.0, 0.0, 7.0, 5.0, 9.0, 2.0, 0.0, 8.0, 5.0, 5.0], [2.0, 2.0, 10.0, 10.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 5.0, 3.0, 3.0, 9.0, 7.0], [0.0, 4.0, 2.0, 0.0, 9.0, 10.0, 8.0, 0.0, 9.0, 10.0, 9.0, 8.0, 9.0, 1.0, 0.0]]",19,16,27,17,15,16,14,16,24,23,23
9,1,RobinBaumgarten_AStarAgent,AStarAgent,244.9921875,720.0,15,45,8,30,0,132,6,"[[2.0, 7.0, 9.0, 0.0, 5.0, 1.0, 6.0, 10.0, 2.0, 4.0, 2.0, 8.0, 5.0, 7.0, 10.0], [2.0, 3.0, 9.0, 6.0, 3.0, 3.0, 5.0, 5.0, 4.0, 10.0, 8.0, 9.0, 1.0, 2.0, 10.0], [2.0, 0.0, 6.0, 3.0, 1.0, 5.0, 7.0, 3.0, 8.0, 10.0, 5.0, 0.0, 6.0, 4.0, 5.0], [2.0, 4.0, 8.0, 9.0, 3.0, 10.0, 0.0, 7.0, 9.0, 8.0, 7.0, 1.0, 3.0, 7.0, 9.0], [2.0, 6.0, 4.0, 3.0, 10.0, 10.0, 0.0, 4.0, 3.0, 7.0, 2.0, 10.0, 0.0, 1.0, 10.0], [2.0, 8.0, 4.0, 8.0, 9.0, 5.0, 6.0, 8.0, 9.0, 1.0, 2.0, 7.0, 10.0, 8.0, 10.0], [2.0, 10.0, 4.0, 7.0, 9.0, 7.0, 1.0, 3.0, 2.0, 6.0, 8.0, 6.0, 7.0, 2.0, 10.0], [2.0, 5.0, 9.0, 8.0, 2.0, 2.0, 2.0, 10.0, 1.0, 5.0, 3.0, 3.0, 3.0, 0.0, 6.0], [2.0, 1.0, 6.0, 6.0, 0.0, 0.0, 0.0, 4.0, 8.0, 9.0, 3.0, 0.0, 1.0, 1.0, 3.0], [2.0, 7.0, 9.0, 4.0, 8.0, 10.0, 6.0, 7.0, 9.0, 0.0, 9.0, 10.0, 6.0, 8.0, 4.0], [2.0, 5.0, 1.0, 8.0, 9.0, 2.0, 0.0, 10.0, 1.0, 1.0, 6.0, 4.0, 8.0, 4.0, 5.0], [2.0, 1.0, 4.0, 10.0, 8.0, 8.0, 0.0, 7.0, 5.0, 9.0, 2.0, 0.0, 8.0, 5.0, 5.0], [2.0, 2.0, 10.0, 10.0, 8.0, 9.0, 7.0, 8.0, 8.0, 9.0, 5.0, 3.0, 3.0, 9.0, 7.0], [0.0, 4.0, 2.0, 0.0, 9.0, 10.0, 8.0, 0.0, 9.0, 10.0, 9.0, 8.0, 9.0, 1.0, 0.0]]",19,16,27,17,15,16,14,16,24,23,23
